EcoID,Crop,CommonName,SearchScientName,ScientNameClean,Family,MonfredaFileName,MonfredaCropName,Search,GROUP,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,KTMP,GMIN,GMAX,Comment,Selected
2509,quinoa,Quinoa,Chenopodium,Chenopodium quinoa,Chenopodiaceae,quinoa,Quinoa,quinoa,cereals,14,18,2,35,500,1000,250,2600,-8,90,240,,0
2514,safflower,Safflower,Carthamus,Carthamus tinctorius,Compositae,safflower,Safflower Seed,safflower,oil crops,20,32,5,45,600,1000,300,1400,-2,120,245,,0
3608,date,Desert date,Balanites,Balanites aegyptiaca,Balantiaceae,date,Dates,date palm,fruit,20,35,15,41,300,800,200,1700,0,90,180,,0
3699,brazil,Brazil nut,Bertholletia,Bertholletia excelsa,Lecythidaceae,brazil,Brazil Nuts,brazil nut,tree nuts,20,36,12,40,2400,2800,1400,3500,0,365,365,,0
4089,tea,Assam tea,Camellia,Camellia sinensis var. assamica,Theaceae,tea,Tea,tea,other,20,30,12,35,3000,4000,2000,4500,-1,300,365,,0
4312,chestnut,"Chestnut, Japanese",Castanea,Castanea crenata,Fagaceae,chestnut,Chestnuts,chestnut,tree nuts,17,28,12,30,1100,1500,900,2300,0,150,180,,0
4313,chestnut,"Chestnut, American",Castanea,Castanea dentata,Fagaceae,chestnut,Chestnuts,chestnut,tree nuts,15,19,10,30,1000,1100,500,1500,0,150,210,,0
4314,chestnut,"Chestnut, Chinese",Castanea,Castanea mollissima,Fagaceae,chestnut,Chestnuts,chestnut,tree nuts,15,26,10,30,1000,1400,800,1600,-1,150,210,,0
4426,carob,Carob,Ceratonia,Ceratonia siliqua,Fabaceae,carob,Carobs,carob,fruit,20,32,10,39,400,1000,200,2000,0,210,365,,0
4755,kolanut,"Cola-nut, commercial",Cola,Cola nitida,Sterculiaceae,kolanut,Kolanuts,kola nut,other,21,30,10,35,1400,2500,1200,3500,0,150,365,,0
4772,taro,Eddoe,Colocasia,Colocasia esculenta var. antiquorum,Araceae,taro,Taro (Coco Yam),taro,roots and tubers,19,25,5,30,1500,2000,700,3000,0,120,210,,0
5117,quince,Quince,Cydonia,Cydonia oblonga,Rosaceae,quince,Quinces,quince,fruit,10,30,7,35,700,900,500,1100,-1,180,270,,0
5329,fonio,Hungry rice,Digitaria,Digitaria exilis,Gramineae,fonio,Fonio,fonio,cereals,22,27,18,31,900,1600,400,2800,0,90,130,,0
5369,yam,Yellow yam,Dioscorea,Dioscorea cayenensis,Dioscoreaceae,yam,Yams,yam,roots and tubers,20,32,12,40,1200,1900,900,3000,9,280,365,,0
5474,persimmon,American persimmon,Diospyros,Diospyros virginiana,Ebenaceae,persimmon,Persimmons,persimmon,fruit,19,25,10,28,1000,1400,700,1700,0,240,270,,0
5657,millet,"Millet, finger",Eleusine,Eleusine coracana ssp. coracana,Gramineae,millet,Millet,millet,cereals,18,30,8,35,500,1100,300,4300,0,75,180,,0
6779,hop,Hops,Humulus,Humulus lupulus,Moraceae,hop,Hops,hop,other,15,19,8,35,400,700,300,1300,0,150,210,,0
6869,mate,Mate,Ilex,Ilex paraguariensis,Aquifoliaceae,mate,Mate,mate,other,17,26,12,30,1200,2000,700,2500,-1,210,300,,0
7209,lentil,Lentil,Lens,Lens culinaris,Fabaceae,lentil,Lentils,lentil,pulses,15,29,5,32,600,1000,250,2500,0,70,240,,0
7336,linseed,Linseed,Linum,Linum usitatissimum,Linaceae,linseed,Linseed,linseed,oil crops,16,24,5,30,500,800,250,1300,-1,80,180,,0
7437,lupin,Lupinus pilosus,Lupinus,Lupinus pilosus,Fabaceae,lupin,Lupins,lupin,pulses,12,18,6,26,450,1000,350,2000,0,100,180,,0
7848,banana,Banana (M.acuminata Colla),Musa,Musa acuminata,Musaceae,banana,Bananas,banana,fruit,23,33,12,42,1200,3600,650,5000,1,180,365,,0
7849,banana,Banana,Musa,Musa acuminata x balbisiana,Musaceae,banana,Bananas,banana,fruit,25,35,15,40,1400,2400,1000,5000,1,180,365,,0
7849,plantain,Plantain bananas,Musa,Musa acuminata x balbisiana,Musaceae,plantain,Plantains,plantain,fruit,25,35,15,40,1400,2400,1000,5000,1,180,365,,0
8280,millet,"Millet, common",Panicum,Panicum miliaceum,Gramineae,millet,Millet,millet,cereals,20,32,15,45,500,750,200,1000,0,55,280,,0
8296,poppy,Opium poppy,Papaver,Papaver somniferum,Papaveraceae,poppy,Poppy Seed,poppy,oil crops,15,24,3,28,800,1200,300,1700,0,135,210,,0
8418,millet,"Millet, pearl",Pennisetum,Pennisetum glaucum,Gramineae,millet,Millet,millet,cereals,25,35,12,40,400,900,200,1700,0,60,120,,0
8595,aniseetc,Anise,Pimpinella,Pimpinella anisum,Umbelliferae,aniseetc,anise and badian and fennel,anise,other,18,26,5,30,900,1300,600,1700,0,120,150,,0
8965,cherry,"Cherry, Sweet",Prunus,Prunus avium,Rosaceae,cherry,Cherries,cherry,fruit,18,28,6,40,500,900,300,1500,0,180,240,,0
8970,cherry,"Cherry, Sour",Prunus,Prunus cerasus,Rosaceae,sourcherry,Sour Cherries,cherry,fruit,15,25,4,30,800,1600,500,2700,-4,180,240,Difficult to distinguis in the literature -- join,0
8983,apricot,"Apricot, Japanese",Prunus,Prunus mume,Rosaseae,apricot,Apricots,apricot,fruit,18,34,6,38,800,1000,600,1200,0,180,210,,0
8992,plum,"Plum, Japanese",Prunus,Prunus salicina,Rosaceae,plum,Plums,plum,fruit,18,34,6,38,750,900,650,1100,0,180,240,,0
9290,gooseberry,Ribes uva-crispa,Ribes,Ribes uva-crispa,Grossulariaceae,gooseberry,gooseberry,gooseberry,fruit,15,25,3,40,900,1300,500,1700,0,150,180,,0
9732,millet,"Millet, foxtail",Setaria,Setaria italica,Gramineae,millet,Millet,millet,cereals,16,26,5,35,500,700,300,4000,0,60,120,,0
9787,mustard,"Mustard, White",Sinapsis,Sinapis alba,Brassicaceae,mustard,Mustard Seed,mustard,oil crops,10,25,5,30,700,1100,500,1300,0,110,180,,0
9878,eggplant,"Eggplant, African",Solanum,Solanum macrocarpon,Solanaceae,eggplant,Eggplants,eggplant,vegetables,20,26,10,32,700,1000,500,4000,0,40,100,,0
10582,wheat,"Wheat, durum",Triticum,Triticum durum,Gramineae,wheat,Wheat,wheat,cereals,17,25,6,30,500,700,400,800,0,120,180,,1
10704,blueberry,Highbush blueberry,Vaccinium,Vaccinium corymbosum,Ericaceae,blueberry,Blueberries,blueberry,fruit,18,30,7,42,900,1100,700,1300,-1,160,200,,0
10711,cranberry,Cranberry,Vaccinium,Vaccinium macrocarpon,Ericaceae,cranberry,Cranberries,cranberry,fruit,16,24,4,27,600,1000,400,1300,-1,100,180,,0
10830,bambara,Bambara groundnut,Voandzeia,Voandzeia subterranea,Fabaceae,bambara,Bambara beans,bambara groundnut,pulses,19,30,16,38,750,1400,300,3000,0,90,180,,0
10835,cowpea,Cowpea,Vigna,Vigna unguiculata ssp. unguiculata,Fabaceae,cowpea,"Cow Peas, Dry",cowpea,pulses,20,35,10,40,600,1500,400,4100,0,60,240,,1
10862,karite,Karité,Vitellaria,Vitellaria paradoxa,Sapotaceae,karite,Karite nuts,karité,oil crops,24,38,18,43,500,1000,300,1800,0,365,365,,0
16203,plum,Plum,Prunus,Prunus domestica,Rosaceae,plum,Plums,plum,fruit,18,33,6,36,900,1500,600,1800,-2,180,210,,0
17644,avocado Mexican,Avocado  (Guatemalan),Persea,Persea americana ssp. mexican,Lauraceae,avocado,Avocados,avocado,vegetables,14,22,10,28,1000,1400,660,1800,0,270,365,,0
17645,avocado guatemalan,Avocado  (Guatemalan),Persea,Persea americana ssp. guatemalan,Lauraceae,avocado,Avocados,avocado,vegetables,15,24,12,30,1000,1400,660,1800,-1,300,365,,0
17646,avocado windian,Avocado  (West Indian),Persea,Persea americana ssp. west indian,Lauraceae,avocado,Avocados,avocado,vegetables,15,26,12,34,1000,1400,660,1800,-1,365,365,,0
48747,sorghum,Sorghum,Sorghum,Sorghum bicolor,Gramineae,sorghum,Sorghum,sorghum,cereals,22,35,8,40,400,600,300,700,0,90,300,,1
238663,maize,Maize,Zea,Zea mays ssp. mays,Gramineae,maize,Maize,maize,cereals,18,33,10,47,600,1200,400,1800,0,65,365,,1
999999,mushroom,"Mushroom, cultivated",Agaricus,Agaricus bisporus,Agaricaceae,mushroom,Mushrooms,mushroom,vegetables,14,18,11,22,1000,1500,800,1700,7,30,45,,0
