"x","y","crop"
76.8739725,19.0419505,"bean"
95.6238975,21.6252735,"bean"
-39.7922275,-6.70794650000001,"bean"
-85.6253775,12.7086425,"bean"
72.1239915,26.7919195,"bean"
75.7073105,26.7919195,"bean"
80.3739585,17.2919575,"bean"
79.2072965,25.8752565,"bean"
74.3739825,16.3752945,"bean"
34.5408085,0.4586915,"bean"
-1.0423825,10.2919855,"bean"
76.0406425,13.4586395,"bean"
-49.2088565,-23.6245455,"bean"
77.6239695,17.6252895,"bean"
74.2073165,28.1252475,"bean"
74.1239835,27.7919155,"bean"
85.7906035,20.2919455,"bean"
35.4574715,0.708690499999989,"bean"
35.5408045,-0.207972500000011,"bean"
37.5407965,-1.6246335,"bean"
75.2073125,26.0419225,"bean"
125.6237775,39.8752005,"bean"
33.2074805,-15.9579095,"bean"
71.5406605,26.1252555,"bean"
29.4574955,-1.0413025,"bean"
-0.375718500000005,10.8753165,"bean"
35.3741385,-8.54127250000001,"bean"
97.2072245,24.3752625,"bean"
30.2074925,-1.79129950000001,"bean"
32.9574815,3.2920135,"bean"
31.7908195,-16.2079085,"bean"
74.3739825,28.6252455,"bean"
32.9574815,-16.1245755,"bean"
0.790943499999997,10.7919835,"bean"
96.6238935,25.9585895,"bean"
-37.6255695,-7.3746105,"bean"
106.2905215,11.2919815,"bean"
-99.3753225,20.2919455,"bean"
31.5408205,-1.6246335,"bean"
83.3739465,20.7086105,"bean"
-87.6253695,14.3753025,"bean"
29.7074945,-3.1246275,"bean"
-43.8755445,-21.0412225,"bean"
96.1238955,21.3752745,"bean"
74.7073145,26.2085885,"bean"
-63.2921335,-22.4578835,"bean"
74.7906475,15.7919635,"bean"
30.0408265,-0.791303499999998,"bean"
71.4573275,42.6251895,"bean"
72.4573235,25.9585895,"bean"
-47.2921975,-16.4579075,"bean"
-91.4586875,14.9586335,"bean"
79.3739625,23.1252675,"bean"
34.2074765,-10.4579315,"bean"
36.7074665,-0.124639500000001,"bean"
13.9575575,-13.5412525,"bean"
70.2906655,23.4585995,"bean"
95.7072305,20.7919435,"bean"
72.2906575,26.8752525,"bean"
85.4572715,20.3752785,"bean"
111.0405025,-7.20794450000001,"bean"
-90.9586895,14.6253015,"bean"
29.4574955,-2.37463050000001,"bean"
75.4573115,28.7085785,"bean"
74.1239835,27.9585815,"bean"
95.2905655,17.9586215,"bean"
37.0407985,-0.207972500000011,"bean"
37.9574615,-2.37463050000001,"bean"
-40.7922235,-12.0412585,"bean"
75.8739765,15.8752965,"bean"
76.1239755,13.7086385,"bean"
28.9574975,-3.1246275,"bean"
16.5408805,-12.7079225,"bean"
95.9572295,17.5419565,"bean"
85.5406045,19.9586135,"bean"
73.0406545,27.3752505,"bean"
-108.2919535,25.7919235,"bean"
95.8738965,21.7086065,"bean"
73.1239875,25.6252575,"bean"
-43.2088805,-9.2079365,"bean"
37.5407965,-1.12463550000001,"bean"
71.3739945,24.3752625,"bean"
-56.2921615,-15.0412465,"bean"
35.3741385,0.4586915,"bean"
95.9572295,21.0419425,"bean"
75.2906455,26.7919195,"bean"
-86.6253735,13.4586395,"bean"
115.2904855,-6.95794550000001,"bean"
38.1241275,-1.20796850000001,"bean"
75.5406445,25.7085905,"bean"
95.7072305,17.1252915,"bean"
83.7072785,18.5419525,"bean"
75.1239795,26.4585875,"bean"
31.9574855,-16.2912415,"bean"
74.4573155,27.4585835,"bean"
79.7906275,10.5419845,"bean"
-75.2920855,2.9586815,"bean"
30.7074905,28.6252455,"bean"
114.0404905,-6.95794550000001,"bean"
78.1239675,9.0419905,"bean"
82.4572835,17.2086245,"bean"
126.5404405,37.9585415,"bean"
9.95757350000002,5.54200449999999,"bean"
85.7072705,25.9585895,"bean"
72.3739905,28.6252455,"bean"
86.3739345,20.5419445,"bean"
31.7908195,-16.1245755,"bean"
30.2074925,-4.7079545,"bean"
32.6241495,3.2920135,"bean"
125.5404445,39.4585355,"bean"
-38.1255675,-9.70793450000001,"bean"
33.5408125,1.87535249999999,"bean"
1.0409425,10.4586515,"bean"
74.6239815,29.0419105,"bean"
16.6242135,-12.7079225,"bean"
-40.2922255,-7.79127550000001,"bean"
71.4573275,25.3752585,"bean"
76.7906395,19.2086165,"bean"
74.5406485,27.0419185,"bean"
33.5408125,-9.12460350000001,"bean"
79.9572935,23.2086005,"bean"
33.2074805,-8.8746045,"bean"
-52.6255095,-26.3745345,"bean"
80.0406265,23.1252675,"bean"
10.3742385,5.54200449999999,"bean"
80.1239595,23.1252675,"bean"
74.4573155,29.2085765,"bean"
75.5406445,16.0419625,"bean"
79.8739605,25.4585915,"bean"
75.8739765,20.1252795,"bean"
83.2072805,20.1252795,"bean"
-103.2086405,23.0419345,"bean"
77.2073045,21.0419425,"bean"
-91.6253535,14.8753005,"bean"
127.2904375,39.2918695,"bean"
30.2074925,0.625357499999993,"bean"
73.4573195,27.7085825,"bean"
0.20761250000001,10.9586495,"bean"
14.3742225,-13.5412525,"bean"
-38.2089005,-10.2079325,"bean"
76.2906415,20.3752785,"bean"
97.3738905,24.2919295,"bean"
75.7906435,25.7085905,"bean"
77.0406385,18.1252875,"bean"
36.6241335,-1.12463550000001,"bean"
94.7905675,24.2919295,"bean"
-86.9587055,13.7086385,"bean"
-102.0419785,22.7086025,"bean"
95.1238995,17.5419565,"bean"
-38.5422325,-3.7912915,"bean"
78.2906335,12.3753105,"bean"
30.8741565,-1.2913015,"bean"
30.2074925,-2.62462950000001,"bean"
80.3739585,22.7086025,"bean"
76.4573075,15.5419645,"bean"
95.7905635,22.8752685,"bean"
37.0407985,-0.624637500000006,"bean"
37.9574615,6.9586655,"bean"
72.2073245,26.6252535,"bean"
37.8741285,0.542024499999997,"bean"
95.0405665,16.1252955,"bean"
29.4574955,-0.0413065000000046,"bean"
77.2906375,17.7086225,"bean"
-90.0420265,14.9586335,"bean"
-97.5419965,19.1252835,"bean"
75.2906455,29.2085765,"bean"
37.3741305,-0.874636500000008,"bean"
72.7073225,33.0418945,"bean"
94.0405705,22.8752685,"bean"
-51.6255135,-24.2078765,"bean"
-89.7920275,13.6253055,"bean"
89.4572555,23.8752645,"bean"
83.2072805,18.4586195,"bean"
73.4573195,25.2919255,"bean"
32.8741485,2.3753505,"bean"
77.9573015,17.8752885,"bean"
32.9574815,2.45868349999999,"bean"
37.3741305,-0.624637500000006,"bean"
-49.8755205,-25.7078705,"bean"
10.8742365,6.5420005,"bean"
96.7072265,16.8752925,"bean"
95.3738985,19.8752805,"bean"
95.4572315,16.1252955,"bean"
117.1238115,-8.45793950000001,"bean"
77.6239695,19.3752825,"bean"
29.2074965,-0.707970500000002,"bean"
77.6239695,20.1252795,"bean"
-40.2922255,-2.8746285,"bean"
94.1239035,22.7086025,"bean"
95.2905655,17.3752905,"bean"
33.8741445,-15.8745765,"bean"
-40.7922235,-7.1246115,"bean"
28.7908315,-2.2079645,"bean"
77.7073025,21.0419425,"bean"
71.0406625,25.3752585,"bean"
74.6239815,28.7919115,"bean"
106.5405205,11.5419805,"bean"
95.2072325,16.6252935,"bean"
94.7905675,22.7919355,"bean"
-102.8753085,23.1252675,"bean"
-74.1254235,18.6252855,"bean"
9.87424050000001,4.2086765,"bean"
75.9573095,25.2919255,"bean"
-50.1255195,-23.9578775,"bean"
-85.3753785,12.7086425,"bean"
37.7074625,-1.2913015,"bean"
30.8741565,-1.3746345,"bean"
75.0406465,28.2919135,"bean"
-40.7922235,-11.8745925,"bean"
14.7075545,-9.37460250000001,"bean"
89.7905875,25.2919255,"bean"
17.2908775,-12.2079245,"bean"
28.7908315,-1.7079665,"bean"
95.7072305,20.6252775,"bean"
95.7072305,16.6252935,"bean"
79.7072945,25.9585895,"bean"
95.7072305,17.2086245,"bean"
-35.6255775,-7.4579435,"bean"
79.5406285,23.2086005,"bean"
33.4574795,-8.9579375,"bean"
95.2905655,17.2086245,"bean"
75.6239775,28.5419125,"bean"
76.5406405,19.9586135,"bean"
14.7908875,-14.7912475,"bean"
35.7074705,-4.1246235,"bean"
74.6239815,26.2085885,"bean"
-37.4589035,-7.79127550000001,"bean"
28.7908315,-3.95795750000001,"bean"
38.1241275,-1.2913015,"bean"
-49.6255215,-23.7078785,"bean"
74.1239835,26.3752545,"bean"
73.6239855,27.7919155,"bean"
73.5406525,23.7919315,"bean"
95.2072325,21.9586055,"bean"
96.0405625,21.2086085,"bean"
95.2905655,16.7919595,"bean"
32.6241495,-3.04129450000001,"bean"
77.0406385,20.1252795,"bean"
-50.7921835,-27.4578635,"bean"
-39.7088945,-4.9579535,"bean"
72.9573215,25.2085925,"bean"
86.7072665,26.3752545,"bean"
68.8740045,23.1252675,"bean"
-39.4588955,-3.2079605,"bean"
33.1241475,-15.8745765,"bean"
32.3741505,-15.4579115,"bean"
-76.0420825,-13.7079185,"bean"
76.7906395,17.4586235,"bean"
-103.3753065,23.9585975,"bean"
76.4573075,16.8752925,"bean"
-49.6255215,-25.5412045,"bean"
74.9573135,21.0419425,"bean"
-38.1255675,-7.3746105,"bean"
73.5406525,27.8752485,"bean"
-98.2919935,19.2086165,"bean"
-34.8755805,-7.4579435,"bean"
126.7904395,38.1252075,"bean"
-103.2919735,23.9585975,"bean"
-108.4586195,25.4585915,"bean"
30.1241595,-4.2912895,"bean"
16.8742125,-12.6245895,"bean"
76.7906395,17.1252915,"bean"
76.2906415,11.9586455,"bean"
-86.2920415,12.8753085,"bean"
31.6241535,3.37534649999999,"bean"
-86.0420425,13.2086405,"bean"
-74.3754225,18.5419525,"bean"
125.9571095,39.3752025,"bean"
-50.4588515,-25.2078725,"bean"
94.7072345,20.1252795,"bean"
-48.6255255,-23.9578775,"bean"
76.2073085,20.9586095,"bean"
-38.9588975,-11.8745925,"bean"
76.7073065,17.7086225,"bean"
77.5406365,30.4585715,"bean"
85.4572715,26.0419225,"bean"
79.7906275,11.2919815,"bean"
72.3739905,24.7919275,"bean"
-38.1255675,-10.7079305,"bean"
125.2071125,38.5418725,"bean"
85.4572715,25.7085905,"bean"
29.8741605,-0.791303499999998,"bean"
-86.2087085,13.3753065,"bean"
17.4575435,-12.0412585,"bean"
74.4573155,23.8752645,"bean"
75.7073105,20.0419465,"bean"
74.7073145,29.2085765,"bean"
75.1239795,26.0419225,"bean"
70.8739965,25.1252595,"bean"
75.5406445,26.2919215,"bean"
36.5408005,-1.20796850000001,"bean"
28.5408325,-2.37463050000001,"bean"
73.2906535,25.0419265,"bean"
38.1241275,-1.3746345,"bean"
72.4573235,27.0419185,"bean"
96.4572275,16.6252935,"bean"
37.1241315,-0.457971499999999,"bean"
94.9572335,20.5419445,"bean"
-50.2088525,-25.6245375,"bean"
-40.1255595,-10.8745965,"bean"
37.8741285,-1.12463550000001,"bean"
73.9573175,28.2919135,"bean"
-50.8755165,-25.4578715,"bean"
33.2074805,2.2920175,"bean"
-86.2087085,13.2086405,"bean"
34.2908095,-14.7912475,"bean"
80.3739585,23.0419345,"bean"
77.6239695,18.0419545,"bean"
-53.2088405,-27.2911975,"bean"
79.7072945,23.0419345,"bean"
79.2072965,17.7086225,"bean"
33.5408125,0.958689499999991,"bean"
-85.2087125,12.9586415,"bean"
-89.4586955,13.7919715,"bean"
-50.1255195,-24.7078745,"bean"
-98.7919915,20.0419465,"bean"
125.9571095,38.9585375,"bean"
95.1238995,20.6252775,"bean"
73.0406545,26.7085865,"bean"
31.3741545,-1.54130050000001,"bean"
96.7072265,18.3752865,"bean"
77.2073045,16.7086265,"bean"
75.0406465,28.2085805,"bean"
79.2906295,25.6252575,"bean"
76.7906395,17.5419565,"bean"
-49.8755205,-24.6245415,"bean"
